create,week,delete
Seahawks-vs-Cardinals,9,Seahawks-vs-Cardinals
Rams-vs-Buccaneers,9,Rams-vs-Buccaneers
Titans-vs-Chiefs,9,Titans-vs-Chiefs
Ravens-vs-Saints,9,Ravens-vs-Saints
Falcons-vs-Panthers,10,Falcons-vs-Panthers
Seahawks-vs-Buccaneers,10,Seahawks-vs-Buccaneers
Vikings-vs-Bills,10,Vikings-vs-Bills
Lions-vs-Bears,10,Lions-vs-Bears
Jaguars-vs-Chiefs,10,Jaguars-vs-Chiefs
Browns-vs-Dolphins,10,Browns-vs-Dolphins
Texans-vs-Giants,10,Texans-vs-Giants
Saints-vs-Steelers,10,Saints-vs-Steelers
Broncos-vs-Titans,10,Broncos-vs-Titans
Colts-vs-Raiders,10,Colts-vs-Raiders
Cowboys-vs-Packers,10,Cowboys-vs-Packers
Cardinals-vs-Rams,10,Cardinals-vs-Rams
Chargers-vs-49ers,10,Chargers-vs-49ers
Commanders-vs-Eagles,10,Commanders-vs-Eagles
Titans-vs-Packers,11,Titans-vs-Packers
Bears-vs-Falcons,11,Bears-vs-Falcons
Panthers-vs-Ravens,11,Panthers-vs-Ravens
Browns-vs-Bills,11,Browns-vs-Bills
Commanders-vs-Texans,11,Commanders-vs-Texans
Eagles-vs-Colts,11,Eagles-vs-Colts
Jets-vs-Patriots,11,Jets-vs-Patriots
Rams-vs-Saints,11,Rams-vs-Saints
Lions-vs-giants,11,Lions-vs-giants
Raiders-vs-Broncos,11,Raiders-vs-Broncos
Chiefs-vs-Chargers,11,Chiefs-vs-Chargers
Cowboys-vs-Vikings,11,Cowboys-vs-Vikings
Bengals-vs-Steelers,11,Bengals-vs-Steelers
49ers-vs-Cardinals,11,49ers-vs-Cardinals
Bills-vs-Lions,12,Bills-vs-Lions
Giants-vs-Cowboys,12,Giants-vs-Cowboys
Patriots-vs-Vikings,12,Patriots-vs-Vikings
Broncos-vs-Panthers,12,Broncos-vs-Panthers
Buccaneers-vs-Browns,12,Buccaneers-vs-Browns
Ravens-vs-Jaguars,12,Ravens-vs-Jaguars
Texans-vs-Dolphins,12,Texans-vs-Dolphins
Bears-vs-Jets,12,Bears-vs-Jets
Bengals-vs-Titans,12,Bengals-vs-Titans
Falcons-vs-Commanders,12,Falcons-vs-Commanders
Chargers-vs-Cardinals,12,Chargers-vs-Cardinals
Raiders-vs-Seahawks,12,Raiders-vs-Seahawks
Rams-vs-Chiefs,12,Rams-vs-Chiefs
Saints-vs-49ers,12,Saints-vs-49ers
Packers-vs-Eagles,12,Packers-vs-Eagles
Steelers-vs-Colts,12,Steelers-vs-Colts
Bills-vs-Patrtios,13,Bills-vs-Patrtios
Steelers-vs-Falcons,13,Steelers-vs-Falcons
Broncos-vs-Ravens,13,Broncos-vs-Ravens
Packers-vs-Bears,13,Packers-vs-Bears
Jaguars-vs-Lions,13,Jaguars-vs-Lions
Browns-vs-Texans,13,Browns-vs-Texans
Jets-vs-Vikings,13,Jets-vs-Vikings
Commanders-vs-Giants,13,Commanders-vs-Giants
Titans-vs-Eagles,13,Titans-vs-Eagles
Seahawks-vs-Rams,13,Seahawks-vs-Rams
Dolphins-vs-49ers,13,Dolphins-vs-49ers
Chiefs-vs-Bengals,13,Chiefs-vs-Bengals
Chargers-vs-Raiders,13,Chargers-vs-Raiders
Colts-vs-Cowboys,13,Colts-vs-Cowboys
Saints-vs-Buccaneers,13,Saints-vs-Buccaneers
Raiders-vs-Rams,14,Raiders-vs-Rams
Jets-vs-Bills,14,Jets-vs-Bills
Browns-vs-Bengals,14,Browns-vs-Bengals
Texans-vs-Cowboys,14,Texans-vs-Cowboys
Vikings-vs-Lions,14,Vikings-vs-Lions
Eagles-vs-Giants,14,Eagles-vs-Giants
Ravens-vs-Steelers,14,Ravens-vs-Steelers
Jaguars-vs-Titans,14,Jaguars-vs-Titans
Dolphins-vs-Chargers,14,Dolphins-vs-Chargers
Panthers-vs-Seahawks,14,Panthers-vs-Seahawks
Buccaneers-vs-49ers,14,Buccaneers-vs-49ers
Chiefs-vs-Broncos,14,Chiefs-vs-Broncos
Patriots-vs-Cardinals,14,Patriots-vs-Cardinals
49ers-vs-Seahawks,15,49ers-vs-Seahawks
Colts-vs-Vikings,,Colts-vs-Vikings
Dolphins-vs-Bills,15,Dolphins-vs-Bills
Ravens-vs-Browns,15,Ravens-vs-Browns
Falcons-vs-Saints,15,Falcons-vs-Saints
Giants-vs-Commanders,15,Giants-vs-Commanders
Steelers-vs-Panthers,15,Steelers-vs-Panthers
Eagles-vs-Bears,15,Eagles-vs-Bears
Chiefs-vs-Texans,15,Chiefs-vs-Texans
Cowboys-vs-Jaguars,15,Cowboys-vs-Jaguars
Lions-vs-Jets,15,Lions-vs-Jets
Cardinals-vs-Broncos,15,Cardinals-vs-Broncos
Titans-vs-Chargers,15,Titans-vs-Chargers
Bengals-vs-Buccaneers,15,Bengals-vs-Buccaneers
Patriots-vs-Raiders,15,Patriots-vs-Raiders
Rams-vs-Packers,15,Rams-vs-Packers
Jaguars-vs-Jets,16,Jaguars-vs-Jets
Falcons-vs-Ravens,16,Falcons-vs-Ravens
Lions-vs-Panthers,16,Lions-vs-Panthers
Bills-vs-Bears,16,Bills-vs-Bears
Saints-vs-Browns,16,Saints-vs-Browns
Seahawks-vs-Chiefs,16,Seahawks-vs-Chiefs
Giants-vs-Vikings,16,Giants-vs-Vikings
Bengals-vs-Patriots,16,Bengals-vs-Patriots
Texans-vs-Titans,16,Texans-vs-Titans
Commanders-vs-49ers,16,Commanders-vs-49ers
Eagles-vs-Cowboys,16,Eagles-vs-Cowboys
Raiders-vs-Steelers,16,Raiders-vs-Steelers
Packers-vs-Dolphins,16,Packers-vs-Dolphins
Broncos-vs-Rams,16,Broncos-vs-Rams
Buccaneers-vs-Cardinals,16,Buccaneers-vs-Cardinals
Chargers-vs-Colts,16,Chargers-vs-Colts
Cowboys -vs-Titans,17,Cowboys -vs-Titans
Cardinals-vs-Falcons,17,Cardinals-vs-Falcons
Steelers-vs-Ravens,17,Steelers-vs-Ravens
Bears-vs-Lions,17,Bears-vs-Lions
Jaguars-vs-Texans,17,Jaguars-vs-Texans
Broncos-vs-Chiefs,17,Broncos-vs-Chiefs
Dolphins-vs-Patriots,17,Dolphins-vs-Patriots
Colts-vs-Giants,17,Colts-vs-Giants
Saints-vs-Eagles,17,Saints-vs-Eagles
Panthers-vs-Buccaneers,17,Panthers-vs-Buccaneers
Browns-vs-Commanders,17,Browns-vs-Commanders
49ers-vs-Raiders,17,49ers-vs-Raiders
Jets-vs-Seahawks,17,Jets-vs-Seahawks
Vikings-vs-Packers,17,Vikings-vs-Packers
Rams-vs-Chargers,17,Rams-vs-Chargers
Bills-vs-Bengals,17,Bills-vs-Bengals
Buccaneers-vs-Falcons,18,Buccaneers-vs-Falcons
Patriots-vs-Bills,18,Patriots-vs-Bills
Vikings-vs-Bears,18,Vikings-vs-Bears
Lions-vs-Packers,18,Lions-vs-Packers
Texans-vs-Colts,18,Texans-vs-Colts
Titans-vs-Jaguars,18,Titans-vs-Jaguars
Jets-vs-Dolphins,18,Jets-vs-Dolphins
Panthers-vs-Saints,18,Panthers-vs-Saints
Giants-vs-Eagles,18,Giants-vs-Eagles
Browns-vs-Steelers,18,Browns-vs-Steelers
Cowboys-vs-Commanders,18,Cowboys-vs-Commanders
Chargers-vs-Broncos,18,Chargers-vs-Broncos
Chiefs-vs-Raiders,18,Chiefs-vs-Raiders
Rams-vs-Seahawks,18,Rams-vs-Seahawks
Cardinals-vs-49ers,18,Cardinals-vs-49ers
Ravens-vs-Bengals,18,Ravens-vs-Bengals
